iter	Passed	Remaining
0	566	84448
1	692	51261
2	889	43602
3	998	36427
4	1142	33139
5	1261	30266
6	1421	29030
7	1550	27524
8	1747	27376
9	1913	26791
10	1982	25057
11	2141	24626
12	2289	24130
13	2474	24042
14	2560	23047
15	2660	22281
16	2782	21770
17	2869	21043
18	2973	20501
19	3072	19968
20	3287	20195
21	3426	19938
22	3584	19794
23	3680	19320
24	3782	18911
25	3901	18606
26	4004	18241
27	4081	17782
28	4260	17778
29	4548	18192
30	4847	18609
31	4972	18334
32	5137	18215
33	5270	17982
34	5516	18124
35	5621	17801
36	5738	17525
37	5887	17353
38	6079	17302
39	6321	17384
40	6684	17771
41	6861	17644
42	7013	17452
43	7225	17406
44	7554	17626
45	7695	17397
46	7784	17059
47	7925	16841
48	8053	16599
49	8172	16345
50	8272	16059
51	8387	15806
52	8534	15619
53	8640	15361
54	8753	15119
55	8848	14852
56	8936	14580
57	9026	14318
58	9163	14133
59	9262	13893
60	9377	13681
61	9476	13450
62	9580	13230
63	9682	13011
64	9852	12884
65	9976	12697
66	10144	12567
67	10242	12351
68	10371	12175
69	10445	11937
70	10589	11782
71	10693	11584
72	10799	11391
73	10889	11183
74	10981	10981
75	11061	10770
76	11150	10570
77	11234	10370
78	11335	10187
79	11449	10017
80	11558	9846
81	11647	9659
82	11814	9536
83	11943	9384
84	12048	9213
85	12138	9033
86	12247	8869
87	12357	8706
88	12486	8558
89	12535	8357
90	12643	8197
91	12729	8025
92	12825	7860
93	12883	7675
94	12976	7512
95	13007	7316
96	13094	7154
97	13175	6991
98	13269	6835
99	13377	6688
100	13474	6537
101	13526	6365
102	13620	6215
103	13708	6063
104	13830	5927
105	13941	5787
106	14032	5639
107	14117	5490
108	14210	5345
109	14294	5198
110	14407	5062
111	14489	4916
112	14579	4773
113	14670	4632
114	14788	4500
115	14894	4365
116	15010	4233
117	15094	4093
118	15182	3955
119	15269	3817
120	15376	3685
121	15471	3550
122	15587	3421
123	15679	3287
124	15770	3154
125	15861	3021
126	15955	2889
127	16048	2758
128	16137	2627
129	16220	2495
130	16319	2366
131	16417	2238
132	16508	2110
133	16594	1981
134	16692	1854
135	16805	1729
136	16925	1606
137	17023	1480
138	17131	1355
139	17228	1230
140	17335	1106
141	17427	981
142	17531	858
143	17624	734
144	17757	612
145	17917	490
146	18088	369
147	18240	246
148	18386	123
149	18485	0
