iter	Logloss
0	0.6810932999
1	0.6710978233
2	0.6619977193
3	0.6554492839
4	0.6495831276
5	0.6423021587
6	0.6381084134
7	0.6339304187
8	0.629683493
9	0.6274565955
10	0.6250198022
11	0.6228063641
12	0.620880698
13	0.6179411001
14	0.6162632534
15	0.6134614408
16	0.611196658
17	0.6105748971
18	0.6092371838
19	0.6078938045
20	0.6062303603
21	0.6051857742
22	0.6033549882
23	0.6009649741
24	0.5999973741
25	0.5986679449
26	0.5977065221
27	0.5961334455
28	0.5955258569
29	0.5944546799
30	0.5942003269
31	0.5937653896
32	0.5930983684
33	0.5912875125
34	0.5904619119
35	0.5899914165
36	0.5896772814
37	0.5891475506
38	0.5877915445
39	0.5867978161
40	0.5853370724
41	0.5848592173
42	0.5838462403
43	0.5834848657
44	0.5829096406
45	0.5825511804
46	0.5822236329
47	0.5816883041
48	0.5812337836
49	0.5807970958
50	0.5800308653
51	0.5784505436
52	0.5776852288
53	0.5770711784
54	0.5766685224
55	0.5764625298
56	0.5758817914
57	0.575836136
58	0.5756687652
59	0.5748610742
60	0.574557453
61	0.5738839411
62	0.5734785313
63	0.5726505217
64	0.5716680547
65	0.5714065038
66	0.5709853865
67	0.5702609883
68	0.5701233939
69	0.5692372484
70	0.5684631046
71	0.5682328359
72	0.5680246835
73	0.5678990861
74	0.5672849118
75	0.5666041157
76	0.566119081
77	0.5658887415
78	0.5654313887
79	0.565280518
80	0.5640773872
81	0.5638646326
82	0.5631087323
83	0.5625913822
84	0.5621392347
85	0.5615989714
86	0.5602616056
87	0.559925978
88	0.5598689618
89	0.5594985176
90	0.5594926846
91	0.5593581869
92	0.5583125281
93	0.5578838948
94	0.5576190325
95	0.5570612452
96	0.5559965163
97	0.5554594656
98	0.5550074021
99	0.5540952782
